,Name,Access Type,Member Count,USER_NAME_ID,Created Date,USER_NAME_ID_commenter,Created Date.1
310,Enterprise Data Services & Operations,Public,554,30723,2/15/2019,63724,2/20/2019
311,Enterprise Data Services & Operations,Public,554,30723,2/15/2019,68073,2/20/2019
312,Enterprise Data Services & Operations,Public,554,41892,2/14/2019,41892,2/14/2019
313,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,86283,2/19/2019
314,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,81518,2/19/2019
315,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,16987,2/20/2019
316,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,77849,2/21/2019
317,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,86283,2/21/2019
318,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,56721,2/21/2019
319,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,86283,2/21/2019
320,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,82631,2/22/2019
321,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,86283,3/4/2019
322,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,59900,3/4/2019
323,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,56721,3/4/2019
324,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,17985,3/4/2019
325,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,27717,3/5/2019
326,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,86283,3/5/2019
327,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,27717,3/6/2019
328,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,56721,3/11/2019
329,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,27717,3/13/2019
330,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,27717,3/14/2019
331,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,37113,3/18/2019
332,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,56721,3/18/2019
333,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,86283,3/18/2019
334,Enterprise Data Services & Operations,Public,554,86283,2/14/2019,27717,3/19/2019
